OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
"29,200",665,"89,806",-,307.75,-111.1,100,306,308.95,100,"23,200.00"
"3,754","1,009","40,808",-,268.8,-109.15,75,268,269.8,100,"23,250.00"
"43,153",-942,"2,78,703",-,231,-104.45,200,229.8,231,325,"23,300.00"
"10,744","5,766","2,29,893",5.13,197.55,-97.3,25,195.95,197.6,50,"23,350.00"
"91,019","35,810","11,76,649",6.33,165.15,-92.3,300,162.9,165.55,100,"23,400.00"
"46,132","31,377","12,66,059",6.97,136,-86.1,50,135.1,136,50,"23,450.00"
"2,31,329","62,538","42,43,240",7.38,109.95,-79.85,"1,050",109.95,110.9,175,"23,500.00"
"74,705","43,632","23,58,734",7.82,89,-71.2,50,88.5,89.5,"1,000","23,550.00"
"2,21,544","64,278","48,73,619",8.11,70.5,-62.45,25,69.95,70.5,575,"23,600.00"
"83,555","50,808","19,77,561",8.35,55,-53.65,"1,200",54.1,55,775,"23,650.00"
"1,56,374","63,400","30,93,294",8.48,41.55,-45.25,775,41.55,42.6,"4,250","23,700.00"
"47,974","26,400","12,52,456",8.7,31.8,-36.35,"1,000",31.55,32.4,50,"23,750.00"
"1,53,606","25,092","23,88,919",8.94,24.4,-27.95,25,23.9,24.35,"1,000","23,800.00"
"50,654","23,184","9,91,876",9.18,18.65,-21.45,"2,575",18,18.65,"1,050","23,850.00"
"1,28,855","48,634","15,69,189",9.34,13.8,-16.55,"1,875",13.4,13.9,"1,050","23,900.00"
"73,951","48,902","9,26,454",9.64,10.8,-11.65,175,10.35,10.7,125,"23,950.00"
"4,24,995","69,612","28,33,089",9.97,8.6,-8.1,200,8.2,8.6,25,"24,000.00"
"60,071","30,998","6,81,928",10.24,6.7,-5.35,"1,175",6.1,6.65,50,"24,050.00"
"1,43,610","60,224","11,15,369",10.36,4.85,-4,600,4.8,5,"5,800","24,100.00"
"79,671","42,389","5,09,495",10.65,3.85,-2.8,425,3.65,3.8,125,"24,150.00"
"1,89,215","38,450","14,89,334",10.88,2.95,-2.2,"5,250",2.85,3.2,75,"24,200.00"
"63,297","28,721","4,96,114",11.3,2.55,-1.65,600,2.3,2.6,"2,000","24,250.00"
"1,41,892","38,415","10,23,538",11.46,1.9,-1.55,"4,750",1.9,2.2,"7,550","24,300.00"
"42,285","21,416","4,02,850",12.18,2,-0.95,"1,825",1.5,2,"4,050","24,350.00"
"93,540","43,217","5,73,681",12.26,1.45,-1,"78,350",1.45,1.5,"3,125","24,400.00"
"22,817","9,715","1,98,147",12.69,1.3,-0.85,"2,225",1.3,1.35,"1,400","24,450.00"
"2,58,133","79,519","14,81,492",13.28,1.3,-0.65,"24,075",1.3,1.35,"82,425","24,500.00"
"18,182","11,073","1,16,367",14.13,1.5,-0.35,"3,600",1.2,1.5,625,"24,550.00"
"74,422","19,008","4,61,216",14.39,1.25,-0.45,"20,100",1.2,1.3,725,"24,600.00"
"6,597","3,884","59,197",15.18,1.4,-0.1,"3,600",1.15,1.7,50,"24,650.00"
"31,771","8,682","2,45,114",15.39,1.15,-0.25,"2,550",1.15,1.25,"1,175","24,700.00"
"21,975","20,038","94,775",16.19,1.3,-0.1,"5,275",1.1,1.3,450,"24,750.00"
"56,540","32,198","3,98,882",16.84,1.35,0.1,"28,650",1.1,1.5,950,"24,800.00"
