STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"21,050.00","1,500",2.3,12.5,400,-,-,-,-,-,-
"21,100.00",800,3.3,11.5,400,-,-,-,-,-,-
"21,150.00",800,3.7,12.3,400,-,-,-,-,-,-
"21,200.00",800,5.5,7.45,100,-0.65,5.65,21.23,163,94,143
"21,250.00",800,4.8,14.4,400,-,-,-,-,-,-
"21,300.00",800,4.8,13.5,400,-,-,-,-,-,-
"21,350.00",800,4.7,15.5,400,-,-,-,-,-,-
"21,400.00",800,4.7,12.5,400,-,-,-,-,-,-
"21,450.00",800,4.7,13.9,450,-,-,-,-,-,-
"21,500.00",25,6,7,400,-2,6.95,19.4,474,132,402
"21,550.00","1,000",5.6,20.7,400,-,-,-,-,-,-
"21,600.00","1,000",5.6,19,600,-,-,-,-,-,-
"21,650.00",25,6.3,18,450,-,-,-,-,-,-
"21,700.00","1,000",6.1,17,450,-,-,-,-,-,-
"21,750.00",25,8.25,18.8,400,-,-,-,-,-,-
"21,800.00","1,100",8,13.6,200,-90.9,13.6,18.93,288,226,226
"21,850.00",50,8.2,17,450,-103.25,10.05,17.54,2,2,2
"21,900.00",500,8.75,16,400,-,12.5,-,-,-,30
"21,950.00",800,7.7,18,450,0.9,13.95,17.67,1,-,2
"22,000.00",250,11,11.7,100,-2.15,11.9,16.73,"2,331",784,"2,088"
"22,050.00",600,9.7,27,450,-,23.2,-,-,-,1
"22,100.00",600,10.6,17,425,-149.75,16,16.75,4,2,2
"22,150.00",800,9.3,34,450,-,72,-,-,-,2
"22,200.00",25,14.35,27.7,50,-0.05,18.85,16.36,63,15,134
"22,250.00",600,10.4,34,450,-,69,-,-,-,22
"22,300.00",25,15.65,34.25,25,1.2,19.8,15.57,82,71,133
"22,350.00",50,13.15,33.8,50,-12.6,34.45,17.13,2,2,5
"22,400.00",25,18.15,33.3,425,1.6,22.75,15.06,972,505,985
"22,450.00",50,25.15,34.85,50,-19.4,35.9,16.25,13,13,16
"22,500.00",25,28.05,30,625,-0.05,29,14.9,"9,007","2,327","4,869"
"22,550.00",50,29.1,-,-,-269,33.25,14.89,34,33,33
"22,600.00",25,30.35,38.8,25,1.45,36.1,14.67,"1,372",419,659
"22,650.00",600,23.5,-,-,-,-,-,-,-,-
"22,700.00","1,300",37.05,54.25,25,3.4,45.6,14.52,"2,442",549,942
"22,750.00",400,28.85,162,25,-,162,-,-,-,1
"22,800.00",25,56.6,58.55,25,6.65,60.15,14.6,"4,601",772,"1,487"
"22,850.00",600,31.15,85.95,600,-,60,-,-,-,12
"22,900.00",25,67.55,71.95,75,8.1,71.35,14.21,"6,837","2,867","3,199"
"22,950.00",50,73.6,-,-,11.75,81.75,14.29,35,16,22
"23,000.00",50,85.5,88.5,25,8.8,87.3,13.99,"19,208",766,"4,411"
"23,050.00","1,050",88.7,129.95,600,3.45,92.3,13.63,155,87,90
"23,100.00",25,101.45,108,25,10.5,106.7,13.8,"2,594",426,837
"23,150.00",600,90,127.65,25,-6.55,105.5,13,48,5,33
"23,200.00",25,130.9,133,25,14.85,133,13.78,"2,705",322,"1,428"
"23,250.00",600,122.55,189.7,600,15.85,147.85,13.77,78,29,44
"23,300.00",100,161,166,25,20.85,165.65,13.85,"3,473",486,847
"23,350.00",250,168.9,204.45,600,34.3,178.15,13.61,149,14,124
"23,400.00",100,196.35,198.95,25,22.4,196.8,13.62,"5,953",675,"1,770"
"23,450.00",25,215,252.95,600,11.35,198.55,12.76,649,47,121
"23,500.00",25,235.2,239,25,26.4,236.3,13.55,"12,236",874,"2,512"
"23,550.00",600,236.05,270.95,550,30.35,261.6,13.68,868,11,297
"23,600.00",25,279.05,291.9,25,40.65,291.5,13.97,"7,860",309,"1,162"
"23,650.00",25,274.15,315,350,34.55,309.55,13.65,"1,333",193,216
"23,700.00",25,330.1,354.35,25,37,334.5,13.58,"2,650",309,523
"23,750.00",400,346.7,398.1,600,35,365,13.71,81,58,69
"23,800.00",400,386.5,410.45,400,46.4,400,14,451,241,257
"23,850.00",50,407.6,450.45,50,-636.65,410.1,13.05,9,9,9
"23,900.00",25,360,479.6,400,56.45,465.3,14.18,397,142,150
"23,950.00",50,476.7,"1,172.30",50,-136.2,482.55,13.43,6,6,9
"24,000.00",800,525.7,555.05,800,59.7,537.95,14.52,951,115,179
"24,050.00",550,553.15,"1,270.90",550,-648.9,552.95,13.5,69,62,62
"24,100.00",50,599.65,634.4,550,-624.1,618.15,15.06,5,5,5
"24,150.00",50,390.05,668.95,50,57.05,607.05,12.38,6,5,6
"24,200.00",50,680.75,710.1,200,-624.9,699.55,15.52,5,5,5
"24,250.00",100,722,760.6,200,-661.05,705.2,13.59,32,32,32
"24,300.00",50,321.9,796.85,50,-622.9,785.6,16.1,5,5,5
"24,350.00",50,800.25,-,-,-621,830.2,16.44,5,5,5
"24,400.00",50,851.55,888.6,200,-621.25,873.05,16.65,7,7,7
"24,450.00",50,407.2,"1,681.70",50,-617.45,920.35,17.11,5,5,5
"24,500.00",300,958,973.95,200,-613.85,967.8,17.57,8,6,6
"24,550.00",-,-,-,-,-,-,-,-,-,-
"24,600.00",-,-,-,-,-,-,-,-,-,-
"24,650.00",-,-,-,-,-,-,-,-,-,-
"24,700.00",-,-,-,-,-,-,-,-,-,-
"24,750.00",-,-,-,-,-,-,-,-,-,-
"24,800.00",-,-,-,-,-,-,-,-,-,-
"24,850.00",-,-,-,-,-,-,-,-,-,-
"24,900.00",-,-,-,-,-,-,-,-,-,-
"24,950.00",-,-,-,-,-,-,-,-,-,-
"25,000.00",-,-,-,-,-,-,-,-,-,-
"25,050.00",-,-,-,-,-,-,-,-,-,-
"25,100.00",-,-,-,-,-,-,-,-,-,-
"25,150.00",-,-,-,-,-,-,-,-,-,-
"25,200.00",-,-,-,-,-,-,-,-,-,-
"25,250.00",-,-,-,-,-,-,-,-,-,-
"25,300.00",-,-,-,-,-,-,-,-,-,-
