STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"23,000.00",150,16.85,17.1,"1,000",0.4,17.1,13.56,"23,59,011","46,569","3,84,046"
"23,050.00",25,21,21.1,975,1.45,21.1,13.36,"5,74,609","9,392","27,195"
"23,100.00","1,625",26.1,26.65,875,2.65,26.65,13.26,"12,48,474","31,339","1,07,541"
"23,150.00",25,32.55,33.25,"1,000",4.35,33.2,13.13,"7,29,820","18,474","37,206"
"23,200.00",425,42.05,42.45,475,6.05,41,13.17,"17,83,052",85,"1,15,838"
"23,250.00",450,51.45,52.55,"1,000",10,51.45,12.98,"8,08,876","15,014","37,867"
"23,300.00",25,65.35,65.9,"1,000",16.05,66,13.18,"23,97,677","-4,698","1,32,523"
"23,350.00",25,80.55,81.4,"1,000",21,81,13.2,"13,11,070","2,535","35,191"
"23,400.00",50,98.05,99.6,"1,000",24.9,98.05,13.19,"32,74,407","31,269","1,52,399"
"23,450.00",100,119.6,121.15,100,33.1,121,13.39,"22,38,877","19,006","47,386"
"23,500.00",475,144.45,145,800,40.45,145,13.66,"57,00,630","-12,628","2,07,890"
"23,550.00",125,172,174.3,225,49.45,174.3,14.07,"21,99,354","2,942","35,563"
"23,600.00",125,204.15,205,"1,550",57.35,204.15,14.33,"34,47,092","-29,219","88,377"
"23,650.00",500,238.2,239.55,200,67.25,239.95,14.9,"8,73,365","7,205","15,931"
"23,700.00",25,273.8,276.65,200,77.25,277,15.44,"8,90,851","-3,353","22,228"
"23,750.00",200,315.3,317.95,200,82.1,315.25,15.93,"1,51,446","4,898","7,541"
"23,800.00",200,358,360,100,92.15,358.05,16.72,"2,66,893","1,751","14,625"
"23,850.00",75,397.85,404.65,25,97.45,400.75,17.41,"25,423",-42,625
"23,900.00",100,447.95,450.2,25,108.6,449.85,18.65,"49,519",596,"3,522"
"23,950.00",125,492.45,497.7,50,108.05,493.9,19.33,"6,645",-139,385
"24,000.00",25,539.95,543.7,175,110.55,540.85,20.25,"1,06,597","-2,008","50,350"
"24,050.00",75,585.7,598.45,250,113.3,588.35,21.18,"1,220",-68,116
"24,100.00",75,635.95,641.2,75,111.55,638.8,22.41,"2,938",-19,616
"24,150.00",625,684.25,702.3,"1,150",119.3,690.7,23.8,151,-35,367
"24,200.00",50,733.8,739.2,50,117.3,735.05,24.26,"1,135",-97,526
"24,250.00",575,778.5,805,50,86.05,772.7,23.79,52,1,211
"24,300.00",100,833.2,838.75,150,105.55,834.55,26.41,"1,620",-164,325
"24,350.00",50,863.85,895.2,350,75,835,19.87,22,-,154
"24,400.00",150,932.1,938.25,75,106.05,923.75,27.09,194,-,196
"24,450.00",475,977.65,995,350,101.9,971.4,27.78,133,-54,180
"24,500.00",150,"1,031.45","1,037.60",150,121.25,"1,035.00",30.71,"2,131",-79,"5,191"
"24,550.00",500,"1,035.05","1,129.45",500,-,956.3,-,-,-,102
"24,600.00",150,"1,132.05","1,138.45",125,131.6,"1,137.50",33.11,214,-23,89
"24,650.00",500,"1,044.80","1,237.15",500,-,"1,067.60",-,-,-,134
"24,700.00",50,"1,205.00","1,254.00",850,122.5,"1,227.05",33.59,308,23,148
"24,750.00",500,"1,234.45","1,335.80",500,-,"1,154.55",-,-,-,108
"24,800.00",500,"1,283.75","1,380.25",500,-,"1,210.00",-,-,-,125
"24,850.00",500,"1,240.25","1,486.80",500,-,"1,266.45",-,-,-,78
"24,900.00",50,"1,411.70","1,453.75",200,16.9,"1,320.00",-,2,2,124
"24,950.00",500,"1,433.70","1,530.00",500,-,"1,366.10",-,-,-,108
"25,000.00",25,"1,529.60","1,537.15",75,123.15,"1,536.30",40.78,"5,415","-1,771","32,731"
"25,050.00",500,"1,517.75","1,634.25",500,-,"1,469.10",-,-,-,37
"25,100.00",150,"1,606.10","1,655.45",150,13,"1,518.70",-,2,-,24
"25,150.00",500,"1,406.40","1,733.30",500,-,"1,555.40",-,-,-,29
"25,200.00",500,"1,667.15","1,789.15",500,-,"1,608.30",-,-,-,11
"25,250.00",500,"1,604.40","1,858.15",500,-,"1,735.20",-,-,-,12
"25,300.00",50,"1,804.00","1,858.40",225,10.65,"1,771.25",31.24,3,-1,11
"26,000.00",500,"2,472.95","2,539.95",75,115.5,"2,527.05",56.74,847,-364,"3,224"
"27,000.00",200,"3,513.60","3,579.75",200,108.65,"3,512.00",68.83,95,-44,"3,184"
