STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"20,150.00",600,6.05,8.5,400,-,8.4,24.53,101,19,478
"20,200.00",25,6.8,7.45,100,-0.9,7,23.61,"1,250",-224,"5,889"
"20,250.00",800,6.4,8.5,50,-1.8,8.2,23.8,83,22,76
"20,300.00",25,7.5,9.7,75,0.85,9.75,24.06,122,-11,297
"20,350.00",600,7,11.45,400,-,9.7,-,-,-,75
"20,400.00",800,6.2,11,500,-2.5,6.5,22.11,9,-1,207
"20,450.00",800,6.3,11,400,-,12.2,-,-,-,102
"20,500.00",50,7.6,8.05,25,-0.6,8.05,22.13,"3,723",-14,"7,960"
"20,550.00",400,8,14.5,400,-1.6,9.55,-,-,-,36
"20,600.00",25,8.3,14.4,350,-2.4,9.35,21.95,41,29,185
"20,650.00",100,7.5,14,400,-1.95,9.55,21.7,103,27,99
"20,700.00",50,8,14,250,-1.25,11.45,21.96,85,17,405
"20,750.00",100,7.95,11.7,400,-,10.8,21.44,3,-,163
"20,800.00",50,8,12.9,125,-0.6,8.85,20.48,"3,277",2,"11,632"
"20,850.00",100,7.75,12,400,-,12.2,21.17,1,-,229
"20,900.00",725,8.2,11.7,625,-0.75,9.45,20.03,"3,724",-62,"10,900"
"20,950.00",600,9.2,15.95,100,-0.55,11.45,20.3,586,172,319
"21,000.00",250,11.8,12.25,"2,250",0.1,12.25,20.18,"16,010","3,268","35,027"
"21,050.00",600,10.3,18.5,400,0.2,14.5,-,-,-,189
"21,100.00",750,11,16.35,100,0.35,12.45,19.56,659,-25,740
"21,150.00",600,10.5,17.9,400,-4.5,13.4,19.46,57,-5,200
"21,200.00",25,12.9,19,600,4.8,18.95,20.29,"1,765",99,"2,576"
"21,250.00",600,11.9,19,400,-0.7,14.8,19.1,2,-,259
"21,300.00","1,000",12.5,27.35,"1,000",-0.15,14.7,18.73,"1,589",38,"2,281"
"21,350.00",875,14,21,400,1.35,16,-,-,-,195
"21,400.00",50,15.25,28.5,"1,000",-0.1,17,18.51,"1,119",40,"1,309"
"21,450.00",600,13.1,23,400,0.95,17.25,18.21,1,-,174
"21,500.00",25,18.6,19,"1,700",0.4,19,18.18,"9,920",803,"35,842"
"21,550.00",650,15.8,25,400,2.1,21.1,18.18,85,5,148
"21,600.00","1,000",19.45,22.95,50,0.45,21.7,17.91,"1,984",240,"2,156"
"21,650.00",750,16.5,26.4,350,1.25,26.5,18.26,4,4,146
"21,700.00",25,23.55,26,50,0.6,24.1,17.55,"3,463",877,"3,708"
"21,750.00",600,19.5,30.7,25,-0.8,23.7,17.12,10,-2,130
"21,800.00","1,050",24.65,29.95,150,0.55,27.25,17.24,"4,140",18,"6,021"
"21,850.00",25,28.45,29.9,125,0.85,28.7,17.06,233,-64,147
"21,900.00","1,225",28.05,34.95,75,0.65,31.05,16.96,"3,954",688,"4,608"
"21,950.00",600,26.65,37.7,200,0.5,33.45,16.86,285,-1,498
"22,000.00",250,38,38.5,"1,625",1.2,37.75,16.93,"40,448","3,823","77,714"
"22,050.00",400,30.5,50,50,5.1,40.95,16.86,183,29,224
"22,100.00",200,37.65,49.45,150,2.8,42.85,16.64,"5,637",528,"5,062"
"22,150.00",25,43,149,25,1.95,45.4,16.47,158,37,280
"22,200.00",875,45,60,25,2.05,48.55,16.34,"10,737","1,361","10,525"
"22,250.00",50,49.4,77,25,2.35,52.5,16.26,138,3,382
"22,300.00",300,56,57,50,3.95,56.95,16.19,"9,791","1,071","7,750"
"22,350.00",25,52.05,179.95,400,7.6,65.6,16.41,360,141,633
"22,400.00",25,60,69.3,25,3.35,66.6,16.04,"7,443",-103,"8,789"
"22,450.00",25,59,94.95,900,3.35,69.6,15.8,205,62,285
"22,500.00",25,76.2,78,300,5.1,78,15.91,"51,208","2,121","62,558"
"22,550.00",900,75.05,149.95,900,5,83.65,15.8,585,-99,761
"22,600.00",100,80,91.2,25,3.8,87.05,15.54,"8,467",-25,"7,872"
"22,650.00",300,74.15,108.55,225,4.5,95,15.52,417,-152,873
"22,700.00",25,101.85,104,50,8.05,103.95,15.53,"10,500",762,"10,889"
"22,750.00",50,90.15,119.5,50,0.2,103.05,14.99,597,82,744
"22,800.00",50,116.55,121.05,50,10.85,120.95,15.41,"12,936",-134,"12,659"
"22,850.00",100,124,140,25,10.05,127.95,15.24,435,183,882
"22,900.00",25,137.75,139.1,50,11.95,139,15.24,"7,478",291,"5,719"
"22,950.00",250,130,167,25,13.75,150.1,15.2,421,99,573
"23,000.00",350,160.5,161.9,900,12.85,160.5,15.11,"69,606","11,796","1,08,204"
"23,050.00",600,162.45,180,325,15.1,171.55,15.02,353,50,400
"23,100.00",375,176.1,185,75,18.2,184,14.95,"9,393",549,"6,280"
"23,150.00",50,185,214.45,350,17.35,196.5,14.86,348,47,400
"23,200.00",425,205,210.55,25,16.1,207.6,14.69,"12,230",209,"10,588"
"23,250.00",600,182.35,241.5,600,7.8,212.6,14.25,"1,270",366,835
"23,300.00",325,237,246.95,25,26.95,246,14.89,"18,284",390,"12,610"
"23,350.00",475,241.25,271.5,325,26.85,260.45,14.75,"1,199",98,"1,045"
"23,400.00","1,000",268,278,100,23.95,276.6,14.65,"17,995","2,008","15,314"
"23,450.00",900,276.55,297.8,"1,775",28.65,297.8,14.71,"2,401",467,"1,332"
"23,500.00",500,316.8,318,675,33.2,316.8,14.65,"77,371",-104,"73,990"
"23,550.00",600,328.1,354,300,23.25,328.8,14.31,"3,046",118,"1,302"
"23,600.00",400,350,364.7,25,38.35,363.75,14.75,"28,945","2,059","23,934"
"23,650.00",600,320.25,386.3,25,33,380,14.5,962,35,406
"23,700.00",50,405.45,412.35,425,36.35,405.95,14.56,"18,416",243,"8,913"
"23,750.00",25,421,458,50,32.95,426.2,14.38,626,160,907
"23,800.00",150,457.75,470,25,48.4,461.8,14.71,"10,182",51,"15,916"
"23,850.00",500,434.2,504.15,25,35.2,476.3,14.26,233,85,475
"23,900.00",350,506.55,549.95,"1,025",52.4,520.25,14.82,"1,667",268,"1,440"
"23,950.00",500,393.45,715.45,500,53.4,547.85,14.78,212,97,357
"24,000.00",25,580,583,125,59.5,583,14.97,"25,807",635,"24,949"
"24,050.00",500,425.7,790.25,900,60.1,608.15,14.77,127,45,232
"24,100.00",200,630,751.1,500,65.1,648.15,15.08,316,-5,448
"24,150.00","1,000",508.4,821.25,575,40.25,650.3,13.95,80,6,165
"24,200.00",500,580.2,760,25,116.8,764.95,17.01,249,7,428
"24,250.00",500,594.7,909.9,500,39.5,725.4,14.22,15,1,81
"24,300.00",500,665.5,928.05,500,71.4,790,15.39,52,8,198
"24,350.00",500,743.95,"1,026.45",500,88.9,840.05,15.98,23,-6,56
"24,400.00",450,855.65,900,25,75.75,865.75,15.58,57,-1,"1,086"
"24,450.00",500,772.4,"1,066.20",500,36.6,879.2,14.59,12,10,94
"24,500.00",200,952,960,875,91.55,960,16.45,"2,408",-5,"3,160"
"24,550.00",500,881.1,"1,193.40",500,98.4,"1,004.30",16.75,26,-3,26
"24,600.00",500,"1,017.00","1,094.10",500,99.2,"1,046.00",16.92,209,23,314
"24,650.00",500,990.8,"1,263.30",500,54.5,"1,079.40",16.7,11,9,130
"24,700.00",450,"1,092.30","1,265.85",500,23.7,"1,081.60",14.9,12,12,74
"24,750.00",500,"1,051.05","1,394.40","1,000",68.45,"1,142.65",15.94,11,8,28
"24,800.00",450,"1,183.40","1,377.95",500,67.45,"1,185.70",16.06,15,8,56
"24,850.00",500,"1,168.30","1,484.35","1,000",39.9,"1,231.60",16.32,9,9,76
"24,900.00",450,"1,275.95","1,477.20",500,58.65,"1,283.45",16.88,10,10,89
"24,950.00",500,"1,251.40","1,625.30","1,775",75.85,"1,358.00",18.62,14,14,84
"25,000.00",125,"1,409.95","1,423.40",50,100.9,"1,410.00",19.2,"3,465","1,344","7,949"
"25,050.00",500,"1,374.75","1,624.20",500,15.45,"1,428.30",17.97,9,7,62
"25,100.00",500,"1,417.90","1,670.50",500,58.1,"1,473.90",18.17,9,9,27
"25,150.00",500,"1,456.35","1,740.15",500,40.9,"1,547.90",19.95,12,12,18
"25,200.00","1,775","1,506.55",-,-,72.05,"1,573.50",19.03,8,8,16
"25,250.00",500,"1,567.85","1,784.70",500,37.35,"1,586.15",17.09,8,7,21
"25,300.00",25,"1,675.90","1,863.30",500,89.75,"1,686.50",20.66,41,28,35
