OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
2,-,-,-,"3,509.80",-,"1,775","2,883.10","3,486.35",500,"20,150.00"
2,-,-,-,"3,460.15",-,"1,775","2,839.90","3,436.25",500,"20,200.00"
2,-,-,-,"3,402.10",-,"1,775","3,062.35","3,386.10",500,"20,250.00"
2,-,-,-,"3,350.05",-,"1,775","3,015.90","3,335.60",500,"20,300.00"
2,-,-,-,"3,299.70",-,500,"2,929.75","3,285.55",500,"20,350.00"
2,-,-,-,"3,252.95",-,500,"2,943.15","3,235.35",500,"20,400.00"
2,-,-,-,"3,204.15",-,500,"2,843.95","3,185.05",500,"20,450.00"
2,-,-,-,"3,144.80",-,500,"2,800.25","3,134.70",500,"20,500.00"
7,5,5,-,"2,969.75",-125.4,50,"2,924.15","3,011.15",50,"20,550.00"
3,1,1,-,"2,926.00",-119.5,500,"2,751.90","2,961.15",50,"20,600.00"
4,2,2,-,"2,874.40",-121.45,50,"2,836.80","2,901.90",50,"20,650.00"
8,6,6,-,"2,820.00",-126.2,50,"2,774.10","2,861.50",50,"20,700.00"
11,8,8,-,"2,769.85",-126.7,500,"2,595.80","2,801.50",50,"20,750.00"
6,4,4,-,"2,720.90",-126,50,"2,683.35","2,751.15",50,"20,800.00"
10,8,8,-,"2,670.15",-127.15,50,"2,634.00","2,700.75",50,"20,850.00"
12,9,9,-,"2,621.50",-134.85,50,"2,594.30","2,650.90",50,"20,900.00"
12,9,9,-,"2,579.60",-127.05,500,"2,405.50","2,605.05",50,"20,950.00"
82,80,90,-,"2,510.00",-137.9,500,"2,356.30","2,515.00",25,"21,000.00"
13,10,10,-,"2,479.95",-127.45,500,"2,305.85","2,582.60",500,"21,050.00"
14,11,11,-,"2,427.80",-123.05,500,"2,260.10","2,532.65",500,"21,100.00"
14,11,11,-,"2,370.40",-131.35,500,"2,211.80","2,482.40",500,"21,150.00"
14,11,11,-,"2,320.55",-131.5,500,"2,172.25","2,432.15",500,"21,200.00"
14,11,11,-,"2,271.60",-130.9,500,"2,124.25","2,382.05",500,"21,250.00"
13,10,10,-,"2,221.75",-138.3,500,"2,071.10","2,331.65",500,"21,300.00"
10,10,10,-,"2,178.15",362.1,500,"2,015.15","2,281.40",500,"21,350.00"
12,10,10,-,"2,128.20",-122.55,500,"1,977.95","2,231.20",500,"21,400.00"
21,-,8,20.47,"2,129.35",-81.7,50,"2,037.05","2,107.10",50,"21,450.00"
116,114,138,-,"2,010.00",-141.25,300,"1,998.55","2,015.00",25,"21,500.00"
11,11,11,-,"1,963.10",333.9,500,"1,790.00","2,080.50",500,"21,550.00"
40,-,14,-,"1,922.05",-91.7,500,"1,853.80","2,030.20",500,"21,600.00"
10,10,10,-,"1,862.55",324.9,500,"1,724.00","1,980.20",500,"21,650.00"
30,-,8,-,"1,831.00",-84.25,50,"1,793.05","1,855.30",50,"21,700.00"
15,10,10,-,"1,780.00",-30.05,500,"1,606.30","1,879.80",500,"21,750.00"
60,-,14,-,"1,726.75",-88.7,800,"1,633.35","1,829.50",500,"21,800.00"
14,10,10,-,"1,680.75",-133.4,500,"1,507.85","1,779.50",500,"21,850.00"
16,-,8,-,"1,619.95",-89.9,50,"1,594.95","1,654.15",50,"21,900.00"
12,11,11,-,"1,563.95",-105.65,500,"1,390.75","1,679.50",500,"21,950.00"
208,38,219,-,"1,526.65",-70.35,500,"1,362.50","1,525.00",25,"22,000.00"
11,11,11,-,"1,473.70",285.8,500,"1,301.45","1,579.35",500,"22,050.00"
60,11,69,-,"1,436.35",-54.4,500,"1,263.65","1,527.40",500,"22,100.00"
14,9,13,-,"1,370.90",-147.25,500,"1,229.40","1,479.50",500,"22,150.00"
232,88,196,-,"1,345.30",-85,500,"1,266.35","1,370.65",500,"22,200.00"
14,8,12,-,"1,277.85",-135.05,500,"1,140.30","1,379.40",500,"22,250.00"
99,14,215,-,"1,221.80",-128,500,"1,087.75","1,352.95","1,000","22,300.00"
15,8,12,-,"1,173.75",-149.1,500,"1,052.65","1,280.45",500,"22,350.00"
72,29,142,-,"1,136.00",-55.95,500,"1,009.25","1,289.70",500,"22,400.00"
13,7,12,-,"1,095.40",28.85,50,"1,044.85","1,182.15",500,"22,450.00"
739,328,461,-,"1,031.00",-106.65,250,"1,011.15","1,028.00",200,"22,500.00"
105,-,9,-,"1,014.05",-77.3,50,967.25,"1,016.95",50,"22,550.00"
166,119,286,-,935.55,-116.2,50,922.95,"1,087.80",500,"22,600.00"
61,7,7,-,896.55,-88.3,500,730.25,904.75,50,"22,650.00"
320,93,211,-,840,-102.4,500,674.7,854,50,"22,700.00"
60,-,55,-,790.1,-121.85,"1,000",627.35,892.1,500,"22,750.00"
"1,091",103,397,-,745.65,-110.2,50,720,844.95,500,"22,800.00"
23,7,8,-,717.75,-85.8,50,685.9,716.7,50,"22,850.00"
"1,135",11,292,-,652.35,-111.1,500,600.05,729.95,500,"22,900.00"
56,2,68,-,631.15,-83.9,500,461.55,712.05,500,"22,950.00"
"4,076",949,"6,374",-,574.55,-98.75,25,563,570,100,"23,000.00"
140,72,258,-,523,-120.75,425,512.4,534.6,375,"23,050.00"
"1,265",47,"1,523",-,470.15,-115.8,50,470.3,489.9,50,"23,100.00"
102,43,377,7.08,445,-97.85,250,425.5,460.95,125,"23,150.00"
"2,850",244,"4,945",7.86,406.9,-98.1,25,400.4,408.4,25,"23,200.00"
262,172,896,8.14,367.75,-96.55,400,345.1,379.7,25,"23,250.00"
"4,736","1,051","10,470",8.85,337.05,-91.35,25,327.85,338.65,25,"23,300.00"
474,183,"4,087",8.46,294.4,-94.4,550,283.55,320.9,700,"23,350.00"
"8,934","2,344","42,432",8.75,263.55,-91.7,100,262.1,265.9,50,"23,400.00"
"1,379",689,"27,201",8.74,230.75,-89.8,50,230.75,235,275,"23,450.00"
"23,071","10,727","1,78,044",9.01,205,-81.75,25,205,207,"1,700","23,500.00"
"2,956","1,144","36,717",9.01,177.4,-77.9,"1,000",176.3,181.95,150,"23,550.00"
"13,655","7,435","1,39,227",9.12,154,-73.7,25,154.1,156,575,"23,600.00"
"3,550","2,094","28,319",9.49,137.8,-63.45,"1,000",132.1,137.2,50,"23,650.00"
"12,637","6,338","78,204",9.42,115.95,-58.2,25,113.55,116,250,"23,700.00"
"1,944","1,133","21,369",9.37,96.85,-56.25,25,96,101,200,"23,750.00"
"6,997","2,437","62,112",9.51,83,-49.05,100,82.05,83,475,"23,800.00"
"2,865","2,035","21,258",9.47,68.35,-44.85,125,68,88,"1,900","23,850.00"
"14,038","8,152","1,07,345",9.6,58,-37.85,450,57.2,58,"5,900","23,900.00"
"2,636","1,560","24,096",9.62,47.65,-33,"1,000",47.15,50.45,25,"23,950.00"
"29,384","8,892","1,48,038",9.96,42.5,-26.2,175,40.05,41.45,25,"24,000.00"
"3,707","2,548","20,954",10.04,35.35,-21.5,150,30,48.95,25,"24,050.00"
"9,702","3,121","65,094",9.98,28,-18.5,875,25,28,"1,850","24,100.00"
"1,806","1,028","13,036",10.03,22.7,-16,150,22,24,25,"24,150.00"
"15,337","4,722","64,535",9.74,16,-14.75,"1,400",16,19.25,200,"24,200.00"
"2,087","1,249","14,672",10.15,14.9,-10.25,150,14,23.8,125,"24,250.00"
"11,510","1,133","39,383",10.02,11,-9,975,11,14.35,100,"24,300.00"
"1,494",552,"7,853",10.33,9.9,-6.6,900,9.9,15.35,50,"24,350.00"
"7,678","2,330","42,481",10.75,9.45,-3.6,100,8.5,9.8,675,"24,400.00"
"1,089",744,"5,314",10.65,7,-3.8,750,6.7,8.1,25,"24,450.00"
"15,646","2,643","58,681",11.2,7.2,-2.35,475,6.1,7.25,50,"24,500.00"
770,110,"5,011",11.03,5.15,-2.75,300,5,6.5,"1,875","24,550.00"
"6,074","3,289","31,111",11.36,4.8,-2.1,100,4.4,4.8,900,"24,600.00"
"1,615","1,241","5,052",11.16,3.3,-2.65,575,3.35,3.8,25,"24,650.00"
"5,162","1,255","12,335",11.93,4,-0.9,950,3.2,4,"5,625","24,700.00"
618,343,"1,307",12.23,3.7,-0.75,650,2.8,3.95,800,"24,750.00"
"3,044","1,839","9,209",11.98,2.5,-1.3,"2,075",2.5,2.8,"3,600","24,800.00"
331,54,671,12.36,2.45,-1.25,250,2.5,4.65,250,"24,850.00"
877,52,"2,119",13,2.8,-0.4,"1,800",2.2,3.2,"1,050","24,900.00"
446,-27,607,13.44,2.85,-0.4,200,2.35,3.95,"1,000","24,950.00"
"9,217","1,555","11,841",13.47,2.3,-0.55,675,2.3,2.7,850,"25,000.00"
513,57,203,13.9,2.35,-0.7,925,2.35,3.15,100,"25,050.00"
483,234,582,14.18,2.2,-0.4,"3,650",2.2,2.4,"1,425","25,100.00"
137,58,128,14.74,2.4,-0.6,25,2.4,2.8,400,"25,150.00"
870,205,"1,654",14.88,2.1,-0.5,"17,250",2.1,2.3,500,"25,200.00"
144,138,244,15.65,2.55,-0.85,150,2,2.5,250,"25,250.00"
"1,292",286,"2,145",15.79,2.25,-0.45,50,1.9,2.5,50,"25,300.00"
