OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
655,248,"1,546",10.22,328.5,-69.85,25,318.15,356.9,900,"23,650.00"
"11,439",995,"17,585",10.15,300.95,-72.3,25,300.95,303,225,"23,700.00"
548,100,"1,031",10.32,281.35,-65.3,600,266.65,314.8,600,"23,750.00"
"13,320",918,"19,702",10.29,257.5,-67.15,375,255.2,257.5,500,"23,800.00"
"2,386","1,876","4,313",10.12,231.05,-66.6,25,232.05,233.1,25,"23,850.00"
"3,915","1,002","6,449",10.24,214,-61.15,25,212.5,214,150,"23,900.00"
441,53,629,10.27,195.5,-55.55,650,143.95,212.65,600,"23,950.00"
"51,966","6,625","60,367",10.21,176,-52.45,300,172.1,175.95,25,"24,000.00"
715,199,"1,035",10.06,155.45,-54.55,25,152.35,209.85,600,"24,050.00"
"4,277",631,"6,911",10.06,140.35,-50.1,75,140.35,148.9,25,"24,100.00"
309,-53,530,10.18,129,-42.4,600,112.6,168.55,900,"24,150.00"
"5,712",481,"9,786",10.19,116,-40,25,112,129.4,50,"24,200.00"
248,-142,495,10.02,100.1,-43,25,100,131.6,550,"24,250.00"
"5,579",855,"12,529",10.26,94.25,-33.75,50,90,99,125,"24,300.00"
459,2,660,10.33,85.6,-28.85,"1,775",49.1,94,25,"24,350.00"
"11,610","2,044","15,295",10.17,73,-30.4,125,73.05,74,500,"24,400.00"
401,100,372,10.34,67.75,-23.95,"1,000",64,69,50,"24,450.00"
"48,085",159,"47,980",10.33,59.8,-22.85,50,58.5,59.85,25,"24,500.00"
425,8,802,10.32,52.7,-20.65,50,50.55,59.9,600,"24,550.00"
"8,218",771,"17,075",10.33,46.45,-19.85,700,45,46.7,125,"24,600.00"
276,182,377,10.32,40.65,-35,600,31.5,40.65,25,"24,650.00"
"9,687","2,146","16,544",10.37,36.2,-14.9,"1,550",35,36.2,200,"24,700.00"
20,-,-,-,44.55,-,100,35.5,78.55,"1,800","24,750.00"
"9,454",-179,"18,789",10.33,27.15,-12.05,125,27,29.4,75,"24,800.00"
20,-,1,15.38,95.75,57.45,50,28.85,41.55,"1,800","24,850.00"
"3,107",146,"3,965",10.48,21.75,-8.75,450,21,29.9,100,"24,900.00"
401,-,-,-,40.95,-,600,16.6,59.5,"1,800","24,950.00"
"44,068","6,616","41,725",10.79,18.7,-6.15,50,18.7,18.85,25,"25,000.00"
"1,103",-89,956,10.93,17.3,-5.4,100,16.55,22.6,500,"25,050.00"
133,133,870,10.95,15.1,-74.85,750,12,24.95,375,"25,100.00"
"1,265",251,"1,500",11.26,15.15,-3.8,25,14,18.8,25,"25,150.00"
-,-,-,-,-,-,75,9.45,41.2,"1,600","25,200.00"
92,91,156,11.22,11.15,-32.75,150,10,18.45,600,"25,250.00"
"1,310","1,309","3,136",11.28,9.95,-30.8,25,9,10.9,300,"25,300.00"
