OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
-,-,-,-,-,-,-,-,-,-,"21,650.00"
-,-,-,-,-,-,-,-,-,-,"21,700.00"
-,-,-,-,-,-,-,-,-,-,"21,750.00"
-,-,-,-,-,-,-,-,-,-,"21,800.00"
-,-,-,-,-,-,-,-,-,-,"21,850.00"
-,-,-,-,-,-,-,-,-,-,"21,900.00"
-,-,-,-,-,-,-,-,-,-,"21,950.00"
-,-,-,-,-,-,-,-,-,-,"22,000.00"
-,-,-,-,-,-,-,-,-,-,"22,050.00"
-,-,-,-,-,-,-,-,-,-,"22,100.00"
-,-,-,-,-,-,-,-,-,-,"22,150.00"
-,-,-,-,-,-,-,-,-,-,"22,200.00"
-,-,-,-,-,-,-,-,-,-,"22,250.00"
-,-,-,-,-,-,-,-,-,-,"22,300.00"
-,-,-,-,-,-,-,-,-,-,"22,350.00"
-,-,-,-,-,-,-,-,-,-,"22,400.00"
2,2,4,11.69,"1,230.80",-0.1,-,-,-,-,"22,450.00"
-,-,-,-,-,-,-,-,-,-,"22,500.00"
-,-,-,-,-,-,-,-,-,-,"22,550.00"
-,-,-,-,-,-,-,-,-,-,"22,600.00"
-,-,-,-,-,-,-,-,-,-,"22,650.00"
-,-,-,-,-,-,-,-,-,-,"22,700.00"
-,-,-,-,-,-,-,-,-,-,"22,750.00"
-,-,-,-,-,-,-,-,-,-,"22,800.00"
-,-,-,-,-,-,-,-,-,-,"22,850.00"
-,-,-,-,-,-,-,-,-,-,"22,900.00"
-,-,-,-,-,-,-,-,-,-,"22,950.00"
-,-,-,-,-,-,-,-,-,-,"23,000.00"
4,-,-,-,811,-,-,-,836.8,100,"23,050.00"
1,-,-,-,716.5,-,-,-,801.9,25,"23,100.00"
-,-,-,-,-,-,100,325.1,-,-,"23,150.00"
11,11,72,9.19,540.6,-161.25,275,198.95,566.7,425,"23,200.00"
-,-,-,-,-,-,-,-,631.8,25,"23,250.00"
32,32,33,10.12,484.35,-159.2,25,453.8,495.8,600,"23,300.00"
6,2,3,10.41,456.05,-219.35,600,394.6,452.95,50,"23,350.00"
174,159,231,9.9,411,-85,25,379,427,25,"23,400.00"
17,12,33,10.33,389.1,-71,100,364.6,405.85,900,"23,450.00"
503,320,847,9.97,350,-83.5,50,345,359.95,475,"23,500.00"
130,34,324,10.14,325,-76.35,100,313.7,324.95,100,"23,550.00"
150,97,304,9.78,288.4,-82.8,375,270.95,300.6,250,"23,600.00"
46,46,67,10.41,278.3,-47.3,100,257.3,277.7,250,"23,650.00"
73,57,108,10.27,250,-67,675,234.3,254.45,775,"23,700.00"
7,3,3,11.17,249.95,-32.35,600,158.95,233.75,50,"23,750.00"
-,-,-,-,-,-,900,187.9,223.8,125,"23,800.00"
-,-,-,-,-,-,600,92,-,-,"23,850.00"
6,-,-,-,220,-,75,145,-,-,"23,900.00"
2,-,-,-,356.8,-,"1,200",93,418.15,900,"23,950.00"
672,402,"1,068",10.08,128.95,-47.7,50,125.45,144.55,25,"24,000.00"
-,-,-,-,-,-,200,40.1,-,-,"24,050.00"
-,-,-,-,-,-,600,87.8,193.1,600,"24,100.00"
-,-,-,-,-,-,100,25.1,-,-,"24,150.00"
2,-,-,-,238,-,600,71.25,135.85,275,"24,200.00"
-,-,-,-,-,-,"1,800",41,-,-,"24,250.00"
-,-,-,-,-,-,900,46.4,144.8,575,"24,300.00"
-,-,-,-,-,-,"1,800",32,288.8,"1,200","24,350.00"
-,-,-,-,-,-,"1,200",37.85,112.35,600,"24,400.00"
-,-,-,-,-,-,750,25.5,239.8,"1,200","24,450.00"
439,-35,"1,189",10.41,37.3,-13.7,400,34.1,37.3,25,"24,500.00"
-,-,-,-,-,-,750,20.5,74.1,"1,200","24,550.00"
-,-,-,-,-,-,"1,800",19.55,68.7,"2,400","24,600.00"
-,-,-,-,-,-,600,16.5,63.55,"2,400","24,650.00"
56,10,10,12.04,36.25,3.75,150,17.15,36.45,900,"24,700.00"
-,-,-,-,-,-,"1,800",12.2,54.3,"2,400","24,750.00"
-,-,-,-,-,-,750,10.6,50.05,"2,900","24,800.00"
-,-,-,-,-,-,750,9.5,46.15,"2,400","24,850.00"
-,-,-,-,-,-,750,8.8,42.45,"2,900","24,900.00"
-,-,-,-,-,-,750,8.95,39.05,"2,200","24,950.00"
509,185,621,11.74,13.95,-4.3,25,11,13.65,250,"25,000.00"
-,-,-,-,-,-,750,6.5,32.9,"2,000","25,050.00"
-,-,-,-,-,-,750,6.5,30.15,"2,500","25,100.00"
111,69,130,11.5,7.7,-7.6,100,7.2,9,425,"25,150.00"
-,-,-,-,-,-,750,5.6,22,"2,000","25,200.00"
-,-,-,-,-,-,"1,500",4.3,18.35,"1,000","25,250.00"
182,134,242,12.44,7.75,-4.7,25,6.6,12.5,50,"25,300.00"
