STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"22,500.00",75,13.4,13.85,750,0.7,13.85,15.2,"50,462","3,946","17,271"
"22,550.00",250,14.5,20,25,-0.1,15.1,14.89,"7,289",455,"1,354"
"22,600.00",100,17,18.8,375,3.05,18.85,15.01,"31,850","1,098","6,423"
"22,650.00",600,13.5,20,25,0.5,19,14.43,"3,615",-262,686
"22,700.00",25,20.4,24,100,-2.9,17,13.47,"32,885","2,422","11,570"
"22,750.00",600,18.4,40,25,15.85,39.9,16.03,"7,142",744,"1,564"
"22,800.00",50,27.05,29.9,225,3.7,30,14.14,"49,937","4,595","19,443"
"22,850.00","1,800",29.7,40,250,3.1,34.2,13.97,"6,189",762,"1,488"
"22,900.00","1,000",36.55,38.95,25,2.05,37.1,13.61,"40,584","4,719","12,853"
"22,950.00","1,000",41.6,43.7,50,3.1,43.75,13.59,"8,898",732,"1,343"
"23,000.00","1,675",50,50.6,125,4.5,50,13.44,"1,24,606","10,529","28,737"
"23,050.00","1,000",54.85,58.15,"1,000",6.45,57.5,13.34,"16,448","2,309","2,929"
"23,100.00",975,62.05,65.8,50,3.95,62.05,12.91,"62,455","7,563","12,374"
"23,150.00",50,72.5,76.2,"1,000",10.15,75.8,13.15,"20,655",859,"1,556"
"23,200.00",525,85.7,86,200,11.1,85.7,12.99,"81,719",-37,"9,648"
"23,250.00",25,96,100.2,"1,000",15.05,99.9,13.04,"18,505",693,"1,540"
"23,300.00",50,110,113.75,25,17.25,113.35,12.95,"82,314","-1,151","11,681"
"23,350.00",100,125.1,130,75,16.05,125.75,12.7,"20,270",355,"1,363"
"23,400.00",50,143.55,147.5,50,19.6,143.3,12.68,"99,986","2,564","14,448"
"23,450.00",350,159.3,170,25,24.45,165,12.8,"42,902","1,060","2,368"
"23,500.00",350,185.05,190,"7,300",30.7,189,12.96,"2,43,714","8,875","25,006"
"23,550.00",700,202.7,214.9,25,24.65,202.65,12.42,"38,634",-458,"2,388"
"23,600.00",875,232.3,240,"6,125",41.9,240,13.13,"1,43,430","3,602","9,414"
"23,650.00","1,175",246.05,288.3,"1,175",41.8,263.6,12.97,"16,239",579,"1,148"
"23,700.00","1,525",293,304.65,50,53.4,300.15,13.44,"45,478","2,681","4,139"
"23,750.00",425,317.85,335,25,51.45,324.7,13.14,"6,373",329,712
"23,800.00",50,357,367.95,25,63.6,367.3,13.81,"15,594","1,705","2,666"
"23,850.00",500,293.75,426.2,50,68.05,400.05,13.81,"2,975",32,646
"23,900.00",25,431,446.15,50,71.65,437.85,14.05,"2,688",260,763
"23,950.00",375,469.7,489.1,375,89.1,480.2,14.51,"1,277",84,539
"24,000.00",375,512.7,527,100,83.45,520,14.74,"9,692",474,"2,440"
"24,050.00",500,477.05,630.35,500,90.65,564.8,15.27,"1,995",27,483
"24,100.00",50,597.35,616.25,50,90.65,607.9,15.63,923,32,121
"24,150.00",500,508.15,766.1,500,104.15,639.2,15.02,882,-513,181
"24,200.00",500,612.8,795.85,500,99.85,694.9,16.27,443,37,222
"24,250.00",50,732.7,763.8,50,102.3,744.8,17.04,708,-565,130
"24,300.00",50,761.85,807.9,50,110.15,764.55,15.14,5,5,701
"24,350.00",500,804.5,857.15,50,73.6,820.25,16.39,9,9,113
"24,400.00",500,778.6,"1,070.60",500,105.25,884.1,18.39,76,-58,62
"24,450.00",50,782.3,954.8,50,91.15,918.05,17.59,15,10,63
"24,500.00",500,887.05,994.1,50,105.65,979.35,19.39,490,143,414
"24,550.00",500,932.3,"1,118.20",500,6.85,"1,027.85",19.94,37,-3,77
"24,600.00",50,"1,064.05","1,105.10",50,26.9,"1,086.65",21.49,26,-6,90
"24,650.00",50,"1,112.00","1,307.10",500,3.8,"1,117.95",20.29,9,8,60
"24,700.00",50,"1,157.75","1,294.75",500,57.9,"1,132.45",16.26,8,8,89
"24,750.00",50,"1,205.95","1,248.30",50,144.75,"1,234.10",23.31,10,10,22
"24,800.00",50,"1,254.75","1,298.05",50,87.05,"1,260.05",21.33,14,14,41
"24,850.00",50,"1,304.30","1,348.50",50,95.35,"1,322.55",23.42,14,14,34
"24,900.00",50,"1,348.95","1,490.95",500,93.4,"1,371.65",23.96,8,6,23
"24,950.00",50,"1,403.05","1,449.00",50,68.5,"1,397.05",21.48,11,11,23
"25,000.00",500,"1,373.35","1,610.60",500,70,"1,480.00",26.18,16,9,21
"25,050.00",50,"1,501.50","1,549.20",50,102.6,"1,518.70",25.52,11,11,13
"25,100.00",50,"1,550.95","1,599.55",50,108.3,"1,574.20",26.8,10,10,13
"25,150.00",50,"1,601.75","1,651.10",50,71.55,"1,613.40",26.1,11,11,13
"25,200.00",50,"1,649.40","1,699.75",50,99.7,"1,670.55",27.61,10,10,16
"25,250.00",50,"1,699.00","1,750.15",50,98.6,"1,717.95",27.9,10,10,13
"25,300.00",500,"1,737.55","1,802.85",50,80.6,"1,746.40",25.46,9,9,11
