STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"20,150.00","3,125",1.65,3.2,"1,800",-1,1.65,31.56,"1,432",287,639
"20,200.00",50,1.85,2.25,250,-0.6,2,31.76,228,107,956
"20,250.00",900,1.65,3.3,900,-,-,-,-,-,-
"20,300.00","1,300",2,2.9,450,-0.45,2,30.84,986,16,814
"20,350.00",225,1.8,2.75,200,-0.5,2.75,31.5,386,-45,159
"20,400.00",175,1.9,2.75,250,-1.1,1.9,29.77,313,-71,214
"20,450.00","1,800",1.85,3.05,850,-0.45,3.05,30.94,431,-61,217
"20,500.00","1,575",2.1,2.5,250,-0.85,2.1,29.18,"2,729",42,877
"20,550.00",500,2.25,3.05,"1,000",-18.8,2.25,28.95,186,7,54
"20,600.00",750,2.1,3.75,250,-0.4,2.15,28.35,286,7,106
"20,650.00","1,500",1.75,4.8,450,-,-,-,-,-,-
"20,700.00","1,500",1.75,6,400,-,-,-,-,-,-
"20,750.00","1,800",1.7,6,400,-,-,-,-,-,-
"20,800.00","1,800",2.3,3.9,250,-1.05,2.6,27.12,470,-37,330
"20,850.00",250,2.25,3.6,250,-1.6,2.3,26.28,482,-100,99
"20,900.00",25,2.5,4.35,400,-0.95,3.25,26.91,333,-87,89
"20,950.00",100,2.35,3.85,100,-1.9,2.6,25.74,500,323,388
"21,000.00","1,800",2.9,3.65,75,-0.4,3.1,25.82,"10,639","2,934","6,216"
"21,050.00",800,2.5,4.8,450,-20.25,3.05,25.3,"1,024",-31,213
"21,100.00",525,2.7,4.35,550,-21,3.05,24.83,739,-121,134
"21,150.00","1,150",2.65,4.15,"1,800",-21.3,3.4,24.7,429,-254,21
"21,200.00",200,3.05,4.8,100,-11.2,3.25,24.09,887,-224,147
"21,250.00",100,3.2,4.7,550,-2.1,3.2,23.58,250,101,121
"21,300.00",900,2.6,6.5,400,-,-,-,-,-,-
"21,350.00",900,2.65,6.5,450,-,-,-,-,-,-
"21,400.00",550,2.6,5.2,450,-18.7,3.3,22.26,137,91,91
"21,450.00",400,3.3,4.7,100,-113.95,3.3,21.79,381,282,312
"21,500.00","4,475",3.25,3.5,100,-1.15,3.25,21.28,"8,208",402,"3,339"
"21,550.00",100,2.95,4.8,250,-75.3,4,21.39,325,156,190
"21,600.00","2,200",3.4,5,500,0.35,4.95,21.53,"3,715",891,"1,570"
"21,650.00",800,3.3,5.7,400,-,-,-,-,-,-
"21,700.00","1,300",3.25,4.5,475,-0.95,4.15,20.05,"2,410",365,741
"21,750.00",200,3.6,5.1,400,-2.9,3.6,19.19,"1,273",221,362
"21,800.00","1,200",3.35,4.85,"1,450",-,4.9,19.54,"3,965",667,"1,803"
"21,850.00",375,3.5,5.2,400,-3.8,3.5,18.17,"1,711",293,333
"21,900.00",100,3.9,6,50,-1.45,3.9,17.96,"4,006",22,"2,154"
"21,950.00",900,4.05,9.4,600,-1.05,4.65,17.93,"2,791",423,433
"22,000.00",25,4.95,5.55,100,-1.25,4.8,17.52,"26,931","1,370","12,492"
"22,050.00",525,5.15,11.5,400,-1.75,5.15,17.21,"1,966",226,529
"22,100.00",425,5.8,6,800,-1.35,5.8,17.02,"5,561",243,"1,261"
"22,150.00",550,5.75,14.8,600,-0.3,6.25,16.71,"1,720",59,560
"22,200.00",850,6.2,7.7,150,-1.45,6.25,16.2,"23,209","-2,262","3,359"
"22,250.00",600,6.5,9,125,-1.7,7.4,16.13,"2,964",530,993
"22,300.00",750,6.8,15,25,-1.8,7.4,15.61,"20,448",233,"5,936"
"22,350.00",750,7.5,10,25,-0.4,10,15.9,"3,614",126,687
"22,400.00",50,10.1,11.3,25,-,11.05,15.65,"41,419","2,635","6,589"
"22,450.00",25,11.55,17,375,-0.5,12,15.33,"3,570",268,865
