OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
-,-,-,-,-,-,-,-,-,-,"21,050.00"
-,-,-,-,-,-,-,-,-,-,"21,100.00"
-,-,-,-,-,-,-,-,-,-,"21,150.00"
-,-,-,-,-,-,-,-,-,-,"21,200.00"
-,-,-,-,-,-,-,-,-,-,"21,250.00"
-,-,-,-,-,-,-,-,-,-,"21,300.00"
-,-,-,-,-,-,-,-,-,-,"21,350.00"
-,-,-,-,-,-,-,-,-,-,"21,400.00"
-,-,-,-,-,-,-,-,-,-,"21,450.00"
-,-,-,-,-,-,-,-,-,-,"21,500.00"
-,-,-,-,-,-,-,-,-,-,"21,550.00"
-,-,-,-,-,-,-,-,-,-,"21,600.00"
-,-,-,-,-,-,-,-,-,-,"21,650.00"
-,-,-,-,-,-,-,-,-,-,"21,700.00"
-,-,-,-,-,-,-,-,-,-,"21,750.00"
-,-,-,-,-,-,-,-,-,-,"21,800.00"
-,-,-,-,-,-,-,-,-,-,"21,850.00"
-,-,-,-,-,-,-,-,-,-,"21,900.00"
-,-,-,-,-,-,-,-,-,-,"21,950.00"
10,-,-,-,"1,500.00",-,200,"1,589.00","1,647.75",200,"22,000.00"
-,-,-,-,-,-,-,-,-,-,"22,050.00"
-,-,-,-,-,-,-,-,-,-,"22,100.00"
-,-,-,-,-,-,-,-,-,-,"22,150.00"
-,-,-,-,-,-,-,-,-,-,"22,200.00"
-,-,-,-,-,-,-,-,-,-,"22,250.00"
-,-,-,-,-,-,-,-,-,-,"22,300.00"
-,-,-,-,-,-,-,-,-,-,"22,350.00"
-,-,-,-,-,-,-,-,-,-,"22,400.00"
-,-,-,-,-,-,-,-,-,-,"22,450.00"
7,7,7,-,"1,115.00",352.75,-,-,"1,104.80",50,"22,500.00"
13,6,6,-,"1,052.25",34.15,50,351.9,"1,055.60",50,"22,550.00"
7,7,7,-,"1,020.70",320.7,-,-,989,25,"22,600.00"
11,11,15,-,945.45,275.45,50,936.75,945.75,50,"22,650.00"
7,6,7,-,918.75,88.15,50,876.5,"1,580.60",50,"22,700.00"
7,7,7,7.95,878.7,266.25,200,832.8,865.6,200,"22,750.00"
10,10,22,9.03,834.8,249.95,250,206.35,-,-,"22,800.00"
18,10,10,12.02,812.9,28.05,200,747.6,777.25,200,"22,850.00"
7,7,15,10.05,749.25,217.2,50,700.1,"1,383.95",50,"22,900.00"
17,5,7,7.74,686,-140.3,50,130.15,"1,299.95",50,"22,950.00"
199,143,510,6.69,633,-97.8,25,600,799.95,400,"23,000.00"
17,6,7,10.1,618.5,-62.5,50,578.4,764.95,50,"23,050.00"
25,12,21,8.96,562,-87.45,600,501.25,567.45,25,"23,100.00"
15,3,16,10.77,546.3,-57.7,900,72.6,530.65,50,"23,150.00"
124,78,194,9,479.75,-93.95,600,151.45,486.45,250,"23,200.00"
22,7,7,10.76,470.25,-74.2,900,270.3,461.75,50,"23,250.00"
75,37,244,9.8,416.7,-98.3,25,398.6,421.05,25,"23,300.00"
69,39,99,9.64,378.4,-79.8,25,361.95,378.4,25,"23,350.00"
399,199,"1,562",9.56,343,-84.7,75,343,357,25,"23,400.00"
149,116,755,9.82,316.2,-80.05,550,304,339.9,900,"23,450.00"
"1,221",712,"5,760",9.93,288.15,-75.45,25,283,290,50,"23,500.00"
367,186,937,9.53,251.1,-83.05,550,251.2,299.75,600,"23,550.00"
"2,915","1,503","9,082",9.92,233,-72.85,25,223.35,235,250,"23,600.00"
201,153,716,10.05,211.05,-70.85,550,203.05,230.4,900,"23,650.00"
848,-35,"3,788",10.06,188.05,-64.2,600,180.55,194.6,25,"23,700.00"
10,10,22,10.25,171,-36.95,250,155.85,303,600,"23,750.00"
"1,020",422,"3,918",9.99,145.75,-58.35,100,147,152.6,25,"23,800.00"
15,14,20,10.66,141.75,-38.15,"1,325",57.1,179.9,50,"23,850.00"
"1,284",966,"3,879",10.62,124.3,-38.7,425,101,121.2,25,"23,900.00"
-,-,-,-,-,-,600,55.45,144.85,175,"23,950.00"
"3,630","1,642","11,678",10.22,88.2,-39.4,900,85.25,89.3,25,"24,000.00"
1,1,1,18.85,241.4,100.6,600,50.05,231.35,600,"24,050.00"
"3,109","3,108","5,525",10.12,64,-153.65,825,64,65.95,300,"24,100.00"
133,121,403,10.02,53.25,-31.5,250,53.4,65.9,250,"24,150.00"
771,758,"2,504",10.26,48.3,-34.45,25,45.6,49.25,25,"24,200.00"
2,-,-,-,194.8,-,"1,800",40.9,80.15,"2,600","24,250.00"
"3,116","2,129","8,305",10.05,32.2,-20.8,525,32.2,35.5,25,"24,300.00"
-,-,-,-,-,-,"1,800",23,67.65,"2,600","24,350.00"
-,-,-,-,-,-,"1,800",23.6,61.95,"2,850","24,400.00"
3,2,2,13.71,56.65,-75.6,"1,800",18.5,44,800,"24,450.00"
"5,959","2,892","13,981",10.26,16.65,-10.75,500,16.65,20,25,"24,500.00"
113,38,161,10.7,16.6,-25.45,"1,050",14.05,22.95,"1,050","24,550.00"
334,115,401,11.34,18.05,-2.3,550,12.45,17.95,450,"24,600.00"
23,19,40,10.98,12.9,-33.7,50,10.7,20.65,50,"24,650.00"
132,130,159,10.97,10.65,-41.15,250,8.95,15,500,"24,700.00"
3,3,6,11.64,12,-37.85,800,6.5,12,50,"24,750.00"
29,27,51,11.67,10.15,-47.8,250,7.15,10.1,"1,000","24,800.00"
4,-,-,-,70.15,-,"1,500",5.6,23.6,"1,800","24,850.00"
313,311,413,11.49,6.35,-41.65,25,6.35,8.65,400,"24,900.00"
5,-,-,-,14.95,-,600,5.35,15.4,"1,800","24,950.00"
"3,007",290,"2,711",11.94,5.5,-2.6,"2,050",5.5,6.7,700,"25,000.00"
301,55,96,12.58,6.35,-1.35,250,5.6,7.7,500,"25,050.00"
112,112,168,12.6,5.35,-22.4,400,4.6,6.5,125,"25,100.00"
127,73,164,12.89,5.2,-1.4,800,4.25,8,25,"25,150.00"
343,21,97,13.53,6,-0.65,400,4.6,6,625,"25,200.00"
338,290,634,13.54,5.1,-1.6,875,3.8,6.4,300,"25,250.00"
469,227,627,13.63,4.5,-0.75,900,3.65,4.5,25,"25,300.00"
